Date,Description,Debit,Credit
01-01-2025,SALARY-JAN-TECHCORP SOLUTIONS,0,85000
02-01-2025,UPI-LANDLORD RAJESH-MONTHLY RENT,22000,0
03-01-2025,UPI-DMART-GROCERY SUPERMARKET,4850,0
04-01-2025,UPI-BESCOM-ELECTRICITY BILL,2100,0
05-01-2025,UPI-MAHANAGAR GAS-GAS BILL,890,0
06-01-2025,UPI-AIRTEL-BROADBAND INTERNET,999,0
07-01-2025,UPI-HDFC LIFE-INSURANCE PREMIUM,3500,0
08-01-2025,UPI-SHELL PETROL PUMP-FUEL,2500,0
09-01-2025,UPI-APOLLO HOSPITAL-DOCTOR VISIT,800,0
10-01-2025,UPI-MEDPLUS PHARMACY-MEDICINE,1250,0
11-01-2025,UPI-KIDZEE SCHOOL-FEES PAYMENT,8500,0
12-01-2025,UPI-AMAZON-ELECTRONICS STORE,3499,0
13-01-2025,UPI-NETFLIX-FAMILY SUBSCRIPTION,649,0
14-01-2025,UPI-UBER-CAB RIDE OFFICE,285,0
15-01-2025,CASHDEPOSIT-ATM-BONUS SAVINGS,0,15000
16-01-2025,UPI-BIGBASKET-GROCERY ORDER,2340,0
17-01-2025,UPI-Ramesh-driver salary,6000,0
18-01-2025,UPI-BARBEQUE NATION-RESTAURANT,3200,0
19-01-2025,UPI-HP PETROL-CAR FILLING,2200,0
20-01-2025,UPI-VODAFONE-MOBILE PHONE BILL,599,0
21-01-2025,UPI-DECATHLON-SPORTS SHOES,2899,0
22-01-2025,UPI-PVR CINEMAS-FAMILY MOVIE,1400,0
23-01-2025,UPI-URBAN CLAP-HOME CLEANING,899,0
24-01-2025,UPI-Sunita-maid salary,4500,0
25-01-2025,UPI-RELIANCE FRESH-MARKET GROCERY,1680,0
26-01-2025,UPI-LIC-POLICY PREMIUM,5000,0
27-01-2025,UPI-INDIAN OIL-PETROL PUMP,1800,0
28-01-2025,UPI-MAX HOSPITAL-HEALTH CHECKUP,4500,0
29-01-2025,UPI-APOLLO PHARMACY-PRESCRIPTION,780,0
30-01-2025,UPI-ZOMATO-FOOD DELIVERY,650,0
31-01-2025,DIVIDEND-MUTUAL FUND-HDFC AMC,0,2500
01-02-2025,SALARY-FEB-TECHCORP SOLUTIONS,0,85000
02-02-2025,UPI-HOUSING RENT-LANDLORD RAJESH,22000,0
03-02-2025,UPI-TATA POWER-ELECTRICITY UTILITY,1950,0
04-02-2025,UPI-INDANE GAS-CYLINDER BOOKING,920,0
05-02-2025,UPI-NATURE BASKET-ORGANIC GROCERY,3200,0
06-02-2025,UPI-JIO FIBER-WIFI INTERNET,1499,0
07-02-2025,UPI-OLA-TAXI CAB AIRPORT,1850,0
08-02-2025,UPI-IRCTC-TRAIN TICKET FAMILY,4200,0
09-02-2025,UPI-TAJ HOTEL-RESTAURANT DINNER,5500,0
10-02-2025,REFUND-FLIPKART-RETURN CREDIT,0,1299
11-02-2025,UPI-CROMA-ELECTRONICS STORE,8999,0
12-02-2025,UPI-CULT FIT-GYM MEMBERSHIP,2500,0
13-02-2025,UPI-FORTIS HOSPITAL-DENTAL DENTIST,3500,0
14-02-2025,UPI-Ummar-parking mall,100,0
15-02-2025,UPI-BHARAT PETROLEUM-FUEL,2100,0
16-02-2025,UPI-WESTSIDE-CLOTHING FASHION,4500,0
17-02-2025,UPI-HOTSTAR-DISNEY STREAMING,299,0
18-02-2025,UPI-KIRANA STORE-DAILY GROCERY,890,0
19-02-2025,UPI-Abdul-electrician work,1500,0
20-02-2025,UPI-DMRC-METRO TRANSIT CARD,500,0
21-02-2025,UPI-BYJU'S-KIDS EDUCATION,4999,0
22-02-2025,UPI-INOX-THEATER TICKETS,1100,0
23-02-2025,UPI-SWIGGY-RESTAURANT ORDER,780,0
24-02-2025,TPT-PARENTS SUPPORT-MOM,0,10000
25-02-2025,UPI-TANISHQ-JEWELLERY SHOP,15000,0
26-02-2025,UPI-SPENCER'S-SUPERMARKET GROCERY,2100,0
27-02-2025,UPI-PARKING PLAZA-TOLL PARKING,200,0
28-02-2025,UPI-Mohan-plumber repair,800,0
01-03-2025,SALARY-MAR-TECHCORP SOLUTIONS,0,85000
02-03-2025,UPI-RENT PAYMENT-APARTMENT HOUSING,22000,0
03-03-2025,UPI-ADANI ELECTRICITY-UTILITY BILL,2250,0
04-03-2025,UPI-AMAZON PRIME-YEARLY SUBSCRIPTION,1499,0
05-03-2025,UPI-ZEPTO-GROCERY DELIVERY,1560,0
06-03-2025,UPI-MANIPAL HOSPITAL-MEDICAL CHECKUP,6000,0
07-03-2025,UPI-CVS PHARMACY-MEDICINE DRUGS,1100,0
08-03-2025,UPI-HYUNDAI SERVICE-CAR VEHICLE,8500,0
09-03-2025,UPI-ESSAR PETROL-FUEL STATION,2000,0
10-03-2025,INTEREST CREDIT-SAVINGS ACCOUNT,0,1850
11-03-2025,UPI-LIFESTYLE-DEPARTMENT STORE,3200,0
12-03-2025,UPI-BOOK MY SHOW-CONCERT ENTERTAINMENT,2500,0
13-03-2025,UPI-Priya-tuition teacher,3000,0
14-03-2025,UPI-DOMINOS-PIZZA FOOD,890,0
15-03-2025,UPI-RAPIDO-AUTO TRANSPORT,120,0
