Date,Description,Debit,Credit
01-01-2025,CASHDEPOSIT-ATM-SAKET-DEL,0,10000
02-01-2025,UPI-DMRC-METRO RECHARGE-9876543210,250,0
03-01-2025,UPI-BLINKIT-GROCERIES-ORDER98234,487,0
04-01-2025,UPI-SPOTIFY-PREMIUM-SUBSCRIPTION,59,0
05-01-2025,UPI-SHELL PETROL PUMP-FUEL,500,0
06-01-2025,UPI-Rohan-Personal,200,0
07-01-2025,UPI-AMAZON-ELECTRONICS-ORD8827,1299,0
08-01-2025,UPI-UBER-RIDE-DELHI,185,0
09-01-2025,UPI-AIRTEL-MOBILE RECHARGE,299,0
10-01-2025,NEFT-CR-SCHOLARSHIP-UNIVERSITY,0,5000
11-01-2025,UPI-PVR CINEMAS-MOVIE TICKET,350,0
12-01-2025,UPI-ZOMATO-RESTAURANT ORDER,425,0
13-01-2025,UPI-Aman-splitwise,150,0
14-01-2025,UPI-HP PETROL-FILLING STN,450,0
15-01-2025,UPI-FLIPKART-FASHION-ORD992,899,0
16-01-2025,UPI-REDBUS-TRAIN TICKET,385,0
17-01-2025,UPI-NETFLIX-MONTHLY SUB,199,0
18-01-2025,UPI-Ummar-parking,50,0
19-01-2025,UPI-SWIGGY-FOOD DELIVERY,310,0
20-01-2025,TPT-HOMEEXPENSES-DAD,0,3000
21-01-2025,UPI-RAPIDO-BIKE TAXI,89,0
22-01-2025,UPI-INDIAN OIL-PETROL,400,0
23-01-2025,UPI-DOMINOS-PIZZA ORDER,549,0
24-01-2025,UPI-Abdul-books,350,0
25-01-2025,UPI-DECATHLON-SPORTS STORE,1250,0
26-01-2025,UPI-IRCTC-RAILWAY TICKET,725,0
27-01-2025,UPI-Ramesh-auto fare,40,0
28-01-2025,UPI-MYNTRA-CLOTHING SHOP,799,0
29-01-2025,REFUND-AMAZON-RETURN CREDIT,0,450
30-01-2025,UPI-RELIANCE FRESH MARKET,380,0
31-01-2025,UPI-VI-MOBILE BILL PAYMENT,249,0
01-02-2025,UPI-ZEPTO-GROCERY DELIVERY,290,0
02-02-2025,UPI-BOOKMYSHOW-CONCERT TICKET,1500,0
03-02-2025,UPI-Priya-birthday gift,500,0
04-02-2025,UPI-APSRTC-BUS TICKET,220,0
05-02-2025,UPI-BHARAT PETROL PUMP-FUEL,380,0
06-02-2025,UPI-LAUNDRY EXPRESS-WASH,180,0
07-02-2025,IMPS-CR-INTERNSHIP STIPEND,0,8000
08-02-2025,UPI-OLA-CAB RIDE,275,0
09-02-2025,UPI-INOX-THEATER MOVIE,400,0
10-02-2025,UPI-BIGBASKET-GROCERY ORDER,560,0
11-02-2025,UPI-JIO-INTERNET WIFI BILL,399,0
12-02-2025,UPI-Karan-gym fees,600,0
13-02-2025,UPI-CULT FIT-FITNESS GAME,299,0
14-02-2025,UPI-MEDPLUS PHARMACY-MEDICINE,245,0
15-02-2025,UPI-APOLLO CLINIC-DOCTOR VISIT,500,0
