Date,Description,Debit,Credit
01-01-2025,CASHDEPOSIT-ATM-PARENTS ALLOWANCE,0,10000
02-01-2025,UPI-ZOMATO-RESTAURANT ORDER,580,0
03-01-2025,UPI-SWIGGY-FOOD DELIVERY,450,0
04-01-2025,UPI-DOMINOS-PIZZA PARTY,890,0
05-01-2025,UPI-STARBUCKS-COFFEE SHOP,520,0
06-01-2025,UPI-NETFLIX-PREMIUM SUBSCRIPTION,649,0
07-01-2025,UPI-SPOTIFY-PREMIUM MUSIC,119,0
08-01-2025,UPI-AMAZON PRIME-SUBSCRIPTION,299,0
09-01-2025,UPI-UBER-CAB RIDE,385,0
10-01-2025,UPI-PVR CINEMAS-MOVIE TICKET,450,0
11-01-2025,UPI-ZOMATO-RESTAURANT DINNER,720,0
12-01-2025,UPI-MCDONALD'S-FAST FOOD,340,0
13-01-2025,UPI-CAFE COFFEE DAY-COFFEE,280,0
14-01-2025,UPI-INOX-THEATER MOVIE,550,0
15-01-2025,UPI-BOOKMYSHOW-CONCERT TICKET,1800,0
16-01-2025,UPI-SWIGGY-LATE NIGHT ORDER,390,0
17-01-2025,UPI-UBER-RIDE TO MALL,245,0
18-01-2025,UPI-FLIPKART-FASHION CLOTHES,1899,0
19-01-2025,UPI-MYNTRA-SHOPPING SHOES,2499,0
20-01-2025,UPI-OLA-CAB RIDE,310,0
21-01-2025,UPI-KFC-FAST FOOD,420,0
